City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto ayora,-0.7393,-90.3518,30.98,88,65,3.58,EC,1682636491
83,ola,59.5833,151.2833,0.45,75,2,4.39,RU,1682636491
84,punxsutawney,40.9437,-78.9709,19.32,43,92,3.84,US,1682636492
85,dubbo,-32.25,148.6167,17.07,63,3,3.09,AU,1682636492
86,st. john's,47.5649,-52.7093,2.31,91,100,6.26,CA,1682636197
87,turpan,42.9333,89.1667,17.19,17,13,4.55,CN,1682636492
88,ribeira grande,38.5167,-28.7,15.99,90,14,4.92,PT,1682636492
89,praia da vitoria,38.7333,-27.0667,18.14,77,40,9.46,PT,1682636493
90,tura,25.5198,90.2201,23.38,49,72,0.69,IN,1682636493
91,kassala,15.451,36.4,32.27,35,80,4.75,SD,1682636493
92,port mathurin,-19.6833,63.4167,25.89,81,64,6.66,MU,1682636474
93,ponta delgada,37.7333,-25.6667,17.4,94,20,6.17,PT,1682636494
94,ilulissat,69.2167,-51.1,-0.99,86,0,2.06,GL,1682636494
95,muynoq,43.7683,59.0214,17.43,50,97,4.13,UZ,1682636495
96,katsuura,35.1333,140.3,18.59,65,21,7.24,JP,1682636495
97,hastings,50.8552,0.5729,12.29,55,100,3.83,GB,1682636496
98,les avirons,-21.2418,55.3394,20.03,88,100,2.57,RE,1682636496
99,papatowai,-46.5619,169.4708,13.04,76,7,1.02,NZ,1682636496
100,port alfred,-33.5906,26.891,17.88,86,89,0.45,ZA,1682636497
101,hadibu,12.65,54.0333,28.28,75,40,3.72,YE,1682636497
102,talnakh,69.4865,88.3972,-12.64,96,90,1.4,RU,1682636497
103,al khums,32.6486,14.2619,17.67,79,2,3.37,LY,1682636498
104,fale old settlement,-9.3852,-171.2468,28.56,75,100,5.54,TK,1682636498
105,barda,40.3744,47.1267,15.5,89,58,0.78,AZ,1682636356
106,vila do maio,15.1333,-23.2167,22.44,80,52,6.88,CV,1682636498
107,invercargill,-46.4,168.35,11.68,82,51,0.89,NZ,1682636499
108,west island,-12.1568,96.8225,26.99,89,75,5.14,CC,1682636499
109,magadan,59.5667,150.8,0.73,71,2,4.35,RU,1682636310
110,avarua,-21.2078,-159.775,26.03,69,100,3.09,CK,1682636446
111,fort bragg,35.139,-79.006,19.34,85,100,3.6,US,1682636220
112,constantia,44.1833,28.65,5.39,62,98,7.67,RO,1682636344
113,hailey,43.5196,-114.3153,19.92,22,0,7.6,US,1682636500
114,tobelo,1.7284,128.0095,27.54,82,89,1.33,ID,1682636500
115,bowling green,36.9903,-86.4436,15.32,94,100,4.26,US,1682636402
116,el bolson,-41.9667,-71.5167,10.85,100,100,1.63,AR,1682636456
117,aykhal,66.0,111.5,-6.69,94,98,2.18,RU,1682636501
118,as sulayyil,20.4607,45.5779,27.14,23,34,3.12,SA,1682636502
119,assab,13.0092,42.7394,30.51,66,85,3.99,ER,1682636502
120,mil'kovo,55.6078,37.7956,13.52,86,44,2.62,RU,1682636503
121,copala,16.65,-98.9833,29.39,54,1,4.84,MX,1682636504
122,yanykurgan,43.915,67.2481,17.45,22,0,1.65,KZ,1682636505
